UserName,Handle,Timestamp,Text,Label,Text_Lower,Text_Cleaning,Text_Token,Text_Token_Stop,Text_Token_Stop_Stem
𝐋𝐞𝐦𝐛𝐚𝐡𝐡𝐢𝐭𝐚𝐦,@MrGondronk96871,03/07/2023 21:33,"Ekonomi Dari era covid anjlok gk ada naik2nya,di susul kenaikan BBM dll.
Fakta lapangan!

Gk tau klo fakta pendukung kErE picek.
Hidup ngerasain susah pura2 bahgia",negative,"ekonomi dari era covid anjlok gk ada naik2nya,di susul kenaikan bbm dll.
fakta lapangan!

gk tau klo fakta pendukung kere picek.
hidup ngerasain susah pura2 bahgia",ekonomi dari era covid anjlok gk ada naiknya di susul kenaikan bbm dll fakta lapangan gk tau klo fakta pendukung kere picek hidup ngerasain susah pura bahgia,"['ekonomi', 'dari', 'era', 'covid', 'anjlok', 'gk', 'ada', 'naiknya', 'di', 'susul', 'kenaikan', 'bbm', 'dll', 'fakta', 'lapangan', 'gk', 'tau', 'klo', 'fakta', 'pendukung', 'kere', 'picek', 'hidup', 'ngerasain', 'susah', 'pura', 'bahgia']","['ekonomi', 'era', 'covid', 'anjlok', 'naiknya', 'susul', 'kenaikan', 'bbm', 'fakta', 'lapangan', 'fakta', 'pendukung', 'kere', 'picek', 'hidup', 'ngerasain', 'susah', 'pura', 'bahgia']","['ekonomi', 'era', 'covid', 'anjlok', 'naik', 'susul', 'naik', 'bbm', 'fakta', 'lapang', 'fakta', 'dukung', 'kere', 'picek', 'hidup', 'ngerasain', 'susah', 'pura', 'bahgia']"
Umar,@Badjrie1,03/07/2023 19:37,Lah jumlah orang miskin melonjak karena kebijakan pemerintah pusat lah naikin bbm sembako ciptaker dll..,negative,lah jumlah orang miskin melonjak karena kebijakan pemerintah pusat lah naikin bbm sembako ciptaker dll..,lah jumlah orang miskin melonjak karena kebijakan pemerintah pusat lah naikin bbm sembako ciptaker dll,"['lah', 'jumlah', 'orang', 'miskin', 'melonjak', 'karena', 'kebijakan', 'pemerintah', 'pusat', 'lah', 'naikin', 'bbm', 'sembako', 'ciptaker', 'dll']","['miskin', 'melonjak', 'kebijakan', 'pemerintah', 'pusat', 'naikin', 'bbm', 'sembako', 'ciptaker']","['miskin', 'lonjak', 'bijak', 'perintah', 'pusat', 'naikin', 'bbm', 'sembako', 'ciptaker']"
VivaCoid,@VIVAcoid,03/07/2023 19:11,"Resmi Naik! Daftar Harga BBM Terbaru, Pertalite, Pertamax, Pertamax Turbo, Dexlite dan Pertamina Dex",neutral,"resmi naik! daftar harga bbm terbaru, pertalite, pertamax, pertamax turbo, dexlite dan pertamina dex",resmi naik daftar harga bbm terbaru pertalite pertamax pertamax turbo dexlite dan pertamina dex,"['resmi', 'naik', 'daftar', 'harga', 'bbm', 'terbaru', 'pertalite', 'pertamax', 'pertamax', 'turbo', 'dexlite', 'dan', 'pertamina', 'dex']","['resmi', 'daftar', 'harga', 'bbm', 'terbaru', 'pertalite', 'pertamax', 'pertamax', 'turbo', 'dexlite', 'pertamina', 'dex']","['resmi', 'daftar', 'harga', 'bbm', 'baru', 'pertalite', 'pertamax', 'pertamax', 'turbo', 'dexlite', 'pertamina', 'dex']"
Mira,@onetwoney,03/07/2023 17:00,"Siapa tau ada yang penasaran. Berapa sih spend PP Jakarta-Bandung naik mobil? Bensin pertalite +/- IDR 350k & toll +/- IDR 150k. Jadi total kurang lebih IDR 500k, harga toll pasti selisih dikit tp bensin tergantung mobilnya",neutral,"siapa tau ada yang penasaran. berapa sih spend pp jakarta-bandung naik mobil? bensin pertalite +/- idr 350k & toll +/- idr 150k. jadi total kurang lebih idr 500k, harga toll pasti selisih dikit tp bensin tergantung mobilnya",siapa tau ada yang penasaran berapa sih spend pp jakarta bandung naik mobil bensin pertalite idr  toll idr  jadi total kurang lebih idr  harga toll pasti selisih dikit tp bensin tergantung mobilnya,"['siapa', 'tau', 'ada', 'yang', 'penasaran', 'berapa', 'sih', 'spend', 'pp', 'jakarta', 'bandung', 'naik', 'mobil', 'bensin', 'pertalite', 'idr', 'toll', 'idr', 'jadi', 'total', 'kurang', 'lebih', 'idr', 'harga', 'toll', 'pasti', 'selisih', 'dikit', 'tp', 'bensin', 'tergantung', 'mobilnya']","['penasaran', 'spend', 'jakarta', 'bandung', 'mobil', 'bensin', 'pertalite', 'idr', 'toll', 'idr', 'total', 'idr', 'harga', 'toll', 'selisih', 'dikit', 'bensin', 'tergantung', 'mobilnya']","['penasaran', 'spend', 'jakarta', 'bandung', 'mobil', 'bensin', 'pertalite', 'idr', 'toll', 'idr', 'total', 'idr', 'harga', 'toll', 'selisih', 'dikit', 'bensin', 'gantung', 'mobil']"
Sarjana Menolak Tua,@Daeng_LeoMks,03/07/2023 16:02,Apalagi dalam bbrp tahun terakhir keuangan masyarakat cukup goyang stlh dihantam kopit dan kenaikan harga BBM yg luar biasa.,negative,apalagi dalam bbrp tahun terakhir keuangan masyarakat cukup goyang stlh dihantam kopit dan kenaikan harga bbm yg luar biasa.,apalagi dalam bbrp tahun terakhir keuangan masyarakat cukup goyang stlh dihantam kopit dan kenaikan harga bbm yg luar biasa,"['apalagi', 'dalam', 'bbrp', 'tahun', 'terakhir', 'keuangan', 'masyarakat', 'cukup', 'goyang', 'stlh', 'dihantam', 'kopit', 'dan', 'kenaikan', 'harga', 'bbm', 'yg', 'luar', 'biasa']","['bbrp', 'keuangan', 'masyarakat', 'goyang', 'stlh', 'dihantam', 'kopit', 'kenaikan', 'harga', 'bbm']","['bbrp', 'uang', 'masyarakat', 'goyang', 'stlh', 'hantam', 'kopit', 'naik', 'harga', 'bbm']"
Otosia,@otosia,03/07/2023 15:52,"Naik Lagi, Ini Daftar Harga BBM di Indonesia: PT Pertamina (Persero) kembali menaikkan harga sejumlah jenis bahan bakar minyak (BBM) nonsubsidi. Kenaikan tersebut berlaku sejak Sabtu lalu (1/7/2023). http://dlvr.it/SrbNX4",neutral,"naik lagi, ini daftar harga bbm di indonesia: pt pertamina (persero) kembali menaikkan harga sejumlah jenis bahan bakar minyak (bbm) nonsubsidi. kenaikan tersebut berlaku sejak sabtu lalu (1/7/2023). http://dlvr.it/srbnx4",naik lagi ini daftar harga bbm di indonesia pt pertamina persero kembali menaikkan harga sejumlah jenis bahan bakar minyak bbm nonsubsidi kenaikan tersebut berlaku sejak sabtu lalu,"['naik', 'lagi', 'ini', 'daftar', 'harga', 'bbm', 'di', 'indonesia', 'pt', 'pertamina', 'persero', 'kembali', 'menaikkan', 'harga', 'sejumlah', 'jenis', 'bahan', 'bakar', 'minyak', 'bbm', 'nonsubsidi', 'kenaikan', 'tersebut', 'berlaku', 'sejak', 'sabtu', 'lalu']","['daftar', 'harga', 'bbm', 'indonesia', 'pertamina', 'persero', 'menaikkan', 'harga', 'jenis', 'bahan', 'bakar', 'minyak', 'bbm', 'nonsubsidi', 'kenaikan', 'berlaku', 'sabtu']","['daftar', 'harga', 'bbm', 'indonesia', 'pertamina', 'persero', 'naik', 'harga', 'jenis', 'bahan', 'bakar', 'minyak', 'bbm', 'nonsubsidi', 'naik', 'laku', 'sabtu']"
dwi arianto,@4rianto87,03/07/2023 14:14,"Bagi pelaku haji memang benar ini adalah cobaan.
Tapi bagi seorang pengamat dan keluarga pelaku haji.Ini adalah kesalahan penanganan management haji
Apakah berhubungan dengan politik..... Tentu saja... Jalan, BBM, tanah, air, sembako dll adalah hasil kebijakan politik",neutral,"bagi pelaku haji memang benar ini adalah cobaan.
tapi bagi seorang pengamat dan keluarga pelaku haji.ini adalah kesalahan penanganan management haji
apakah berhubungan dengan politik..... tentu saja... jalan, bbm, tanah, air, sembako dll adalah hasil kebijakan politik",bagi pelaku haji memang benar ini adalah cobaan tapi bagi seorang pengamat dan keluarga pelaku haji ini adalah kesalahan penanganan management haji apakah berhubungan dengan politik tentu saja jalan bbm tanah air sembako dll adalah hasil kebijakan politik,"['bagi', 'pelaku', 'haji', 'memang', 'benar', 'ini', 'adalah', 'cobaan', 'tapi', 'bagi', 'seorang', 'pengamat', 'dan', 'keluarga', 'pelaku', 'haji', 'ini', 'adalah', 'kesalahan', 'penanganan', 'management', 'haji', 'apakah', 'berhubungan', 'dengan', 'politik', 'tentu', 'saja', 'jalan', 'bbm', 'tanah', 'air', 'sembako', 'dll', 'adalah', 'hasil', 'kebijakan', 'politik']","['pelaku', 'haji', 'cobaan', 'pengamat', 'keluarga', 'pelaku', 'haji', 'kesalahan', 'penanganan', 'management', 'haji', 'berhubungan', 'politik', 'jalan', 'bbm', 'tanah', 'air', 'sembako', 'hasil', 'kebijakan', 'politik']","['laku', 'haji', 'coba', 'amat', 'keluarga', 'laku', 'haji', 'salah', 'tangan', 'management', 'haji', 'hubung', 'politik', 'jalan', 'bbm', 'tanah', 'air', 'sembako', 'hasil', 'bijak', 'politik']"
liaa,@liaasister,03/07/2023 12:34,"Kayaknya gak bakalan turun, Pak. Seperti harga minyak dunia yg terun, di negri kita harga bensin malah naik. ",negative,"kayaknya gak bakalan turun, pak. seperti harga minyak dunia yg terun, di negri kita harga bensin malah naik. ",kayaknya gak bakalan turun pak seperti harga minyak dunia yg terun di negri kita harga bensin malah naik,"['kayaknya', 'gak', 'bakalan', 'turun', 'pak', 'seperti', 'harga', 'minyak', 'dunia', 'yg', 'terun', 'di', 'negri', 'kita', 'harga', 'bensin', 'malah', 'naik']","['kayaknya', 'turun', 'harga', 'minyak', 'dunia', 'terun', 'negri', 'harga', 'bensin']","['kayak', 'turun', 'harga', 'minyak', 'dunia', 'terun', 'negri', 'harga', 'bensin']"
Thio,@ramadhantahta,03/07/2023 09:59,Yah ngentot harga bensin naik lagi.,negative,yah ngentot harga bensin naik lagi.,yah ngentot harga bensin naik lagi,"['yah', 'ngentot', 'harga', 'bensin', 'naik', 'lagi']","['ngentot', 'harga', 'bensin']","['ngentot', 'harga', 'bensin']"
Faat_Ip,@Faraz_kepri,03/07/2023 09:50,Jangan berharap deh apalagi di tag menteri2 terkait...hal2 yg beginian sengaja tercipta guna nutupin hal2 n kebijakan yg mencekik sperti kenaikan bbm n tdl.toh rezim skrg suka dgn konten2 yg menyerang agama.biar netizen aja yg bekerja dgn judge n justice sosial,negative,jangan berharap deh apalagi di tag menteri2 terkait...hal2 yg beginian sengaja tercipta guna nutupin hal2 n kebijakan yg mencekik sperti kenaikan bbm n tdl.toh rezim skrg suka dgn konten2 yg menyerang agama.biar netizen aja yg bekerja dgn judge n justice sosial,jangan berharap deh apalagi di tag menteri terkait hal yg beginian sengaja tercipta guna nutupin hal  kebijakan yg mencekik sperti kenaikan bbm  tdl toh rezim skrg suka dgn konten yg menyerang agama biar netizen aja yg bekerja dgn judge  justice sosial,"['jangan', 'berharap', 'deh', 'apalagi', 'di', 'tag', 'menteri', 'terkait', 'hal', 'yg', 'beginian', 'sengaja', 'tercipta', 'guna', 'nutupin', 'hal', 'kebijakan', 'yg', 'mencekik', 'sperti', 'kenaikan', 'bbm', 'tdl', 'toh', 'rezim', 'skrg', 'suka', 'dgn', 'konten', 'yg', 'menyerang', 'agama', 'biar', 'netizen', 'aja', 'yg', 'bekerja', 'dgn', 'judge', 'justice', 'sosial']","['berharap', 'tag', 'menteri', 'terkait', 'sengaja', 'tercipta', 'nutupin', 'kebijakan', 'mencekik', 'sperti', 'kenaikan', 'bbm', 'tdl', 'rezim', 'suka', 'konten', 'menyerang', 'agama', 'netizen', 'judge', 'justice', 'sosial']","['harap', 'tag', 'menteri', 'kait', 'sengaja', 'cipta', 'nutupin', 'bijak', 'cekik', 'sperti', 'naik', 'bbm', 'tdl', 'rezim', 'suka', 'konten', 'serang', 'agama', 'netizen', 'judge', 'justice', 'sosial']"
katerina Dyomin,@DyominKaterina,03/07/2023 09:17,"Perbandingan Harga BBM Pertamina, Shell, BP, dan Vivo setelah Alami Kenaikan
#BBM #pertamina #Shell #Vivo",neutral,"perbandingan harga bbm pertamina, shell, bp, dan vivo setelah alami kenaikan
#bbm #pertamina #shell #vivo",perbandingan harga bbm pertamina shell bp dan vivo setelah alami kenaikan,"['perbandingan', 'harga', 'bbm', 'pertamina', 'shell', 'bp', 'dan', 'vivo', 'setelah', 'alami', 'kenaikan']","['perbandingan', 'harga', 'bbm', 'pertamina', 'shell', 'bp', 'vivo', 'alami', 'kenaikan']","['banding', 'harga', 'bbm', 'pertamina', 'shell', 'bp', 'vivo', 'alami', 'naik']"
dewa perang,@oxdewawin,03/07/2023 09:07,Emang kalo elu jd pemerintah ga akan naikin BBM? BBM naik ada subsidi ke yg miskin misal dg BLT dan jaminan lain ke org miskin. Kenaikan BBM saat ini udah sesuai mekanisme hrg minyak dunia. Ga musim lg subsidi BBM. Jd politisi yg pinter dikit dong. Mana ada yg pilih klo oon.,positive,emang kalo elu jd pemerintah ga akan naikin bbm? bbm naik ada subsidi ke yg miskin misal dg blt dan jaminan lain ke org miskin. kenaikan bbm saat ini udah sesuai mekanisme hrg minyak dunia. ga musim lg subsidi bbm. jd politisi yg pinter dikit dong. mana ada yg pilih klo oon.,emang kalo elu jd pemerintah ga akan naikin bbm bbm naik ada subsidi ke yg miskin misal dg blt dan jaminan lain ke org miskin kenaikan bbm saat ini udah sesuai mekanisme hrg minyak dunia ga musim lg subsidi bbm jd politisi yg pinter dikit dong mana ada yg pilih klo oon,"['emang', 'kalo', 'elu', 'jd', 'pemerintah', 'ga', 'akan', 'naikin', 'bbm', 'bbm', 'naik', 'ada', 'subsidi', 'ke', 'yg', 'miskin', 'misal', 'dg', 'blt', 'dan', 'jaminan', 'lain', 'ke', 'org', 'miskin', 'kenaikan', 'bbm', 'saat', 'ini', 'udah', 'sesuai', 'mekanisme', 'hrg', 'minyak', 'dunia', 'ga', 'musim', 'lg', 'subsidi', 'bbm', 'jd', 'politisi', 'yg', 'pinter', 'dikit', 'dong', 'mana', 'ada', 'yg', 'pilih', 'klo', 'oon']","['emang', 'elu', 'pemerintah', 'naikin', 'bbm', 'bbm', 'subsidi', 'miskin', 'blt', 'jaminan', 'miskin', 'kenaikan', 'bbm', 'sesuai', 'mekanisme', 'hrg', 'minyak', 'dunia', 'musim', 'subsidi', 'bbm', 'politisi', 'pinter', 'dikit', 'pilih', 'oon']","['emang', 'elu', 'perintah', 'naikin', 'bbm', 'bbm', 'subsidi', 'miskin', 'blt', 'jamin', 'miskin', 'naik', 'bbm', 'sesuai', 'mekanisme', 'hrg', 'minyak', 'dunia', 'musim', 'subsidi', 'bbm', 'politis', 'pinter', 'dikit', 'pilih', 'oon']"
BambangHesti,@HestiBambang,03/07/2023 08:01,"Pemerintah berhutang kpd Jutaan PNS-TNI-Polri-Pensiunan krn menunda kenaikan gaji sesuai PP No.15 bln Juni th 2019 yg tdk dibayarkan s/d sekarang sdh 4 th lbh, dgn dalih Covid-19 & BBM naik. Allah menegur Pejabat pengelola Anggaran Negara lewat bencana Gempa yg beruntun terus2an.",negative,"pemerintah berhutang kpd jutaan pns-tni-polri-pensiunan krn menunda kenaikan gaji sesuai pp no.15 bln juni th 2019 yg tdk dibayarkan s/d sekarang sdh 4 th lbh, dgn dalih covid-19 & bbm naik. allah menegur pejabat pengelola anggaran negara lewat bencana gempa yg beruntun terus2an.",pemerintah berhutang kpd jutaan pns tni polri pensiunan krn menunda kenaikan gaji sesuai pp no bln juni th yg tdk dibayarkan   sekarang sdh th lbh dgn dalih covid bbm naik allah menegur pejabat pengelola anggaran negara lewat bencana gempa yg beruntun terusan,"['pemerintah', 'berhutang', 'kpd', 'jutaan', 'pns', 'tni', 'polri', 'pensiunan', 'krn', 'menunda', 'kenaikan', 'gaji', 'sesuai', 'pp', 'no', 'bln', 'juni', 'th', 'yg', 'tdk', 'dibayarkan', 'sekarang', 'sdh', 'th', 'lbh', 'dgn', 'dalih', 'covid', 'bbm', 'naik', 'allah', 'menegur', 'pejabat', 'pengelola', 'anggaran', 'negara', 'lewat', 'bencana', 'gempa', 'yg', 'beruntun', 'terusan']","['pemerintah', 'berhutang', 'jutaan', 'pns', 'tni', 'polri', 'pensiunan', 'menunda', 'kenaikan', 'gaji', 'sesuai', 'bln', 'juni', 'dibayarkan', 'dalih', 'covid', 'bbm', 'allah', 'menegur', 'pejabat', 'pengelola', 'anggaran', 'negara', 'bencana', 'gempa', 'beruntun', 'terusan']","['perintah', 'hutang', 'juta', 'pns', 'tni', 'polri', 'pensiun', 'tunda', 'naik', 'gaji', 'sesuai', 'bln', 'juni', 'bayar', 'dalih', 'covid', 'bbm', 'allah', 'tegur', 'jabat', 'kelola', 'anggar', 'negara', 'bencana', 'gempa', 'untun', 'terus']"
Randy,@storjies,03/07/2023 05:00,"makanya kalau baca berita jgn judulnya aja itu yg naik harga bbm nonsubsidi aja dn untuk harga BBM jenis Solar, Pertalite tdk mengalami kenaikan. itu pun sudah disesuaikan dan mempertimbangkan berbagai aspek, seperti minyak mentah, publikasi MOPS dan Kurs",neutral,"makanya kalau baca berita jgn judulnya aja itu yg naik harga bbm nonsubsidi aja dn untuk harga bbm jenis solar, pertalite tdk mengalami kenaikan. itu pun sudah disesuaikan dan mempertimbangkan berbagai aspek, seperti minyak mentah, publikasi mops dan kurs",makanya kalau baca berita jgn judulnya aja itu yg naik harga bbm nonsubsidi aja dn untuk harga bbm jenis solar pertalite tdk mengalami kenaikan itu pun sudah disesuaikan dan mempertimbangkan berbagai aspek seperti minyak mentah publikasi mops dan kurs,"['makanya', 'kalau', 'baca', 'berita', 'jgn', 'judulnya', 'aja', 'itu', 'yg', 'naik', 'harga', 'bbm', 'nonsubsidi', 'aja', 'dn', 'untuk', 'harga', 'bbm', 'jenis', 'solar', 'pertalite', 'tdk', 'mengalami', 'kenaikan', 'itu', 'pun', 'sudah', 'disesuaikan', 'dan', 'mempertimbangkan', 'berbagai', 'aspek', 'seperti', 'minyak', 'mentah', 'publikasi', 'mops', 'dan', 'kurs']","['baca', 'berita', 'judulnya', 'harga', 'bbm', 'nonsubsidi', 'harga', 'bbm', 'jenis', 'solar', 'pertalite', 'mengalami', 'kenaikan', 'disesuaikan', 'mempertimbangkan', 'aspek', 'minyak', 'mentah', 'publikasi', 'mops', 'kurs']","['baca', 'berita', 'judul', 'harga', 'bbm', 'nonsubsidi', 'harga', 'bbm', 'jenis', 'solar', 'pertalite', 'alami', 'naik', 'sesuai', 'timbang', 'aspek', 'minyak', 'mentah', 'publikasi', 'mops', 'kurs']"
SEGo Liwet°,@DarsAlexandra1,03/07/2023 02:02,"Hasil dari kekisruhan alzaitun,RUU kesehatan,MK,KPK,dll, ahirnya kesabaran rakyat indonesia mendapatkan Hadiah dari pemerintah berupa perubahan harga BBM dan TDL. Indonesia hebaat..",positive,"hasil dari kekisruhan alzaitun,ruu kesehatan,mk,kpk,dll, ahirnya kesabaran rakyat indonesia mendapatkan hadiah dari pemerintah berupa perubahan harga bbm dan tdl. indonesia hebaat..",hasil dari kekisruhan alzaitun ruu kesehatan mk kpk dll ahirnya kesabaran rakyat indonesia mendapatkan hadiah dari pemerintah berupa perubahan harga bbm dan tdl indonesia hebaat,"['hasil', 'dari', 'kekisruhan', 'alzaitun', 'ruu', 'kesehatan', 'mk', 'kpk', 'dll', 'ahirnya', 'kesabaran', 'rakyat', 'indonesia', 'mendapatkan', 'hadiah', 'dari', 'pemerintah', 'berupa', 'perubahan', 'harga', 'bbm', 'dan', 'tdl', 'indonesia', 'hebaat']","['hasil', 'kekisruhan', 'alzaitun', 'ruu', 'kesehatan', 'mk', 'kpk', 'ahirnya', 'kesabaran', 'rakyat', 'indonesia', 'hadiah', 'pemerintah', 'perubahan', 'harga', 'bbm', 'tdl', 'indonesia', 'hebaat']","['hasil', 'kisruh', 'alzaitun', 'ruu', 'sehat', 'mk', 'kpk', 'ahirnya', 'sabar', 'rakyat', 'indonesia', 'hadiah', 'perintah', 'ubah', 'harga', 'bbm', 'tdl', 'indonesia', 'hebaat']"
Bonny Prasetia A,@BonnyPrasetia,03/07/2023 01:21,"Yang naik cuma Turbo, karena bentar lagi masuk pertamax RON 95, biar ada selisih harga.",neutral,"yang naik cuma turbo, karena bentar lagi masuk pertamax ron 95, biar ada selisih harga.",yang naik cuma turbo karena bentar lagi masuk pertamax ron biar ada selisih harga,"['yang', 'naik', 'cuma', 'turbo', 'karena', 'bentar', 'lagi', 'masuk', 'pertamax', 'ron', 'biar', 'ada', 'selisih', 'harga']","['turbo', 'bentar', 'pertamax', 'ron', 'selisih', 'harga']","['turbo', 'bentar', 'pertamax', 'ron', 'selisih', 'harga']"
Jagiy,@jagiy99,02/07/2023 22:04,"Ironi nih... pengen cepat, solo - surabaya, naik tol, eh ngisi pertalite di SPBU Rest Area nya yg luamanya minta ampuun
#restarea 
#spbu 
#Pertamina",neutral,"ironi nih... pengen cepat, solo - surabaya, naik tol, eh ngisi pertalite di spbu rest area nya yg luamanya minta ampuun
#restarea 
#spbu 
#pertamina",ironi nih pengen cepat solo surabaya naik tol eh ngisi pertalite di spbu rest area nya yg luamanya minta ampuun,"['ironi', 'nih', 'pengen', 'cepat', 'solo', 'surabaya', 'naik', 'tol', 'eh', 'ngisi', 'pertalite', 'di', 'spbu', 'rest', 'area', 'nya', 'yg', 'luamanya', 'minta', 'ampuun']","['ironi', 'pengen', 'cepat', 'solo', 'surabaya', 'tol', 'ngisi', 'pertalite', 'spbu', 'rest', 'area', 'luamanya', 'ampuun']","['ironi', 'ken', 'cepat', 'solo', 'surabaya', 'tol', 'ngisi', 'pertalite', 'spbu', 'rest', 'area', 'luamanya', 'ampuun']"
Jendral Kepiting,@JendralKepitin9,02/07/2023 21:11,Pertamax turbo dan dexlite yg naik,neutral,pertamax turbo dan dexlite yg naik,pertamax turbo dan dexlite yg naik,"['pertamax', 'turbo', 'dan', 'dexlite', 'yg', 'naik']","['pertamax', 'turbo', 'dexlite']","['pertamax', 'turbo', 'dexlite']"
Pang,@alfar_99,02/07/2023 19:20,Di daerahku udah banyak kok yg berinovasi bahan bakar air. Tapi biasanya dicampur dgn pertalite. Jadi penggunaan BBM jadih lebih efisien. Biasanya tersedia di beberapa pertamini yg pengen cepet cepet naik haji sih,neutral,di daerahku udah banyak kok yg berinovasi bahan bakar air. tapi biasanya dicampur dgn pertalite. jadi penggunaan bbm jadih lebih efisien. biasanya tersedia di beberapa pertamini yg pengen cepet cepet naik haji sih,di daerahku udah banyak kok yg berinovasi bahan bakar air tapi biasanya dicampur dgn pertalite jadi penggunaan bbm jadih lebih efisien biasanya tersedia di beberapa pertamini yg pengen cepet cepet naik haji sih,"['di', 'daerahku', 'udah', 'banyak', 'kok', 'yg', 'berinovasi', 'bahan', 'bakar', 'air', 'tapi', 'biasanya', 'dicampur', 'dgn', 'pertalite', 'jadi', 'penggunaan', 'bbm', 'jadih', 'lebih', 'efisien', 'biasanya', 'tersedia', 'di', 'beberapa', 'pertamini', 'yg', 'pengen', 'cepet', 'cepet', 'naik', 'haji', 'sih']","['daerahku', 'berinovasi', 'bahan', 'bakar', 'air', 'dicampur', 'pertalite', 'penggunaan', 'bbm', 'jadih', 'efisien', 'tersedia', 'pertamini', 'pengen', 'cepet', 'cepet', 'haji']","['daerah', 'inovasi', 'bahan', 'bakar', 'air', 'campur', 'pertalite', 'guna', 'bbm', 'jadih', 'efisien', 'sedia', 'pertamini', 'ken', 'cepet', 'cepet', 'haji']"
BambangHesti,@HestiBambang,02/07/2023 14:37,"Penting dlm Pemilu 2024 keluarga PNS-TNI-Polri-Pensiunan tdk pilih Caleg-Casen-Capres/Cawapres-Cakada dr Parpol koalisi Pemerintah yg gagal perjuangkan Rapelan Kenaikan Gaji sesuai PP No.15 th 2019 yg sdh ditunda lbh dr 4 th, padahal daya beli anjlok lbh dr 50% krn Covid&BBM naik",negative,"penting dlm pemilu 2024 keluarga pns-tni-polri-pensiunan tdk pilih caleg-casen-capres/cawapres-cakada dr parpol koalisi pemerintah yg gagal perjuangkan rapelan kenaikan gaji sesuai pp no.15 th 2019 yg sdh ditunda lbh dr 4 th, padahal daya beli anjlok lbh dr 50% krn covid&bbm naik",penting dlm pemilu keluarga pns tni polri pensiunan tdk pilih caleg casen capres cawapres cakada dr parpol koalisi pemerintah yg gagal perjuangkan rapelan kenaikan gaji sesuai pp no th yg sdh ditunda lbh dr th padahal daya beli anjlok lbh dr krn covid bbm naik,"['penting', 'dlm', 'pemilu', 'keluarga', 'pns', 'tni', 'polri', 'pensiunan', 'tdk', 'pilih', 'caleg', 'casen', 'capres', 'cawapres', 'cakada', 'dr', 'parpol', 'koalisi', 'pemerintah', 'yg', 'gagal', 'perjuangkan', 'rapelan', 'kenaikan', 'gaji', 'sesuai', 'pp', 'no', 'th', 'yg', 'sdh', 'ditunda', 'lbh', 'dr', 'th', 'padahal', 'daya', 'beli', 'anjlok', 'lbh', 'dr', 'krn', 'covid', 'bbm', 'naik']","['pemilu', 'keluarga', 'pns', 'tni', 'polri', 'pensiunan', 'pilih', 'caleg', 'casen', 'capres', 'cawapres', 'cakada', 'parpol', 'koalisi', 'pemerintah', 'gagal', 'perjuangkan', 'rapelan', 'kenaikan', 'gaji', 'sesuai', 'ditunda', 'daya', 'beli', 'anjlok', 'covid', 'bbm']","['milu', 'keluarga', 'pns', 'tni', 'polri', 'pensiun', 'pilih', 'caleg', 'casen', 'capres', 'cawapres', 'cakada', 'parpol', 'koalisi', 'perintah', 'gagal', 'juang', 'rapel', 'naik', 'gaji', 'sesuai', 'tunda', 'daya', 'beli', 'anjlok', 'covid', 'bbm']"
Tribun Pontianak,@tribunpontianak,02/07/2023 14:30,"Penyebab Harga BBM Naik Lagi Bulan Ini, Cek Harga Pertalite dan Solar Terbaru di SPBU Pertamina
 
https://pontianak.tribunnews.com/2023/07/02/penyebab-harga-bbm-naik-lagi-bulan-ini-cek-harga-pertalite-dan-solar-terbaru-di-spbu-pertamina… lewat 
@tribunpontianak",neutral,"penyebab harga bbm naik lagi bulan ini, cek harga pertalite dan solar terbaru di spbu pertamina
 
https://pontianak.tribunnews.com/2023/07/02/penyebab-harga-bbm-naik-lagi-bulan-ini-cek-harga-pertalite-dan-solar-terbaru-di-spbu-pertamina… lewat 
@tribunpontianak",penyebab harga bbm naik lagi bulan ini cek harga pertalite dan solar terbaru di spbu pertamina lewat,"['penyebab', 'harga', 'bbm', 'naik', 'lagi', 'bulan', 'ini', 'cek', 'harga', 'pertalite', 'dan', 'solar', 'terbaru', 'di', 'spbu', 'pertamina', 'lewat']","['penyebab', 'harga', 'bbm', 'cek', 'harga', 'pertalite', 'solar', 'terbaru', 'spbu', 'pertamina']","['sebab', 'harga', 'bbm', 'cek', 'harga', 'pertalite', 'solar', 'baru', 'spbu', 'pertamina']"
